         128502091 function calls (127962783 primitive calls) in 2091.010 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    50000    0.372    0.000   10.690    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\transforms\transforms.py:1362(forward)
    50000    0.371    0.000    4.935    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\transforms\functional.py:920(adjust_saturation)
        1    0.370    0.370  104.309  104.309 C:\Users\dell\OneDrive\Bureau\segmentation\segmentation\loss_alix\hierarchical\cifar.py:56(<listcomp>)
    31261    0.370    0.000    2.016    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\connection.py:293(_recv_bytes)
    50000    0.369    0.000    6.303    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\transforms\_functional_pil.py:300(rotate)
    50000    0.366    0.000    7.905    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\PIL\ImageStat.py:99(_getmean)
    50000    0.357    0.000    1.507    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\transforms\transforms.py:1352(get_params)
    50000    0.357    0.000    4.136    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\transforms\functional.py:876(adjust_brightness)
    62522    0.353    0.000    3.058    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\_utils.py:178(_rebuild_tensor)
    60001    0.347    0.000    3.205    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\PIL\Image.py:2917(frombytes)
    60000    0.340    0.000    3.316    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\PIL\Image.py:663(__array_interface__)
    62522    0.340    0.000    0.860    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\multiprocessing\reductions.py:79(__setitem__)
    50000    0.339    0.000    3.784    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\transforms\_functional_pil.py:284(affine)
    31261    0.339    0.000    1.102    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\connection.py:331(_get_more_data)
    50000    0.333    0.000   16.122    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\transforms\functional.py:898(adjust_contrast)
    15630    0.322    0.000    0.322    0.000 {built-in method torch.ones_like}
    70460    0.320    0.000    0.320    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
   265735    0.319    0.000    0.319    0.000 {built-in method torch._C._has_torch_function_unary}
    50000    0.316    0.000    2.269    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\PIL\ImageEnhance.py:48(__init__)
   312694    0.310    0.000    0.310    0.000 {built-in method sys._getframe}
   830007    0.307    0.000    0.307    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\PIL\Image.py:501(size)
    50000    0.305    0.000    1.444    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\PIL\ImageEnhance.py:82(__init__)
   375228    0.303    0.000    0.424    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\_tensor.py:1002(__hash__)
    50000    0.299    0.000   15.119    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\transforms\_functional_pil.py:77(adjust_contrast)
    62522    0.296    0.000    0.384    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\multiprocessing\reductions.py:75(get)
    60000    0.292    0.000    0.500    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\PIL\Image.py:227(_conv_type_shape)
    15641    0.285    0.000    3.082    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\_dynamo\eval_frame.py:307(_fn)
    15630    0.278    0.000  248.324    0.016 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\autograd\__init__.py:149(backward)
    60001    0.277    0.000    3.723    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\PIL\Image.py:2955(frombuffer)
    63002    0.266    0.000    0.337    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\storage.py:530(__init__)
        8    0.261    0.033    0.261    0.033 {built-in method _pickle.load}
    15641    0.260    0.000    3.551    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\inspect.py:936(getsourcefile)
   400000    0.255    0.000    0.255    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\transforms\_functional_pil.py:277(<genexpr>)
   150000    0.247    0.000    3.857    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\PIL\ImageEnhance.py:25(enhance)
   450000    0.247    0.000    0.247    0.000 {built-in method math.cos}
    31260    0.246    0.000    0.246    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\optim\optimizer.py:122(<genexpr>)
   735416    0.245    0.000    0.245    0.000 {method 'copy' of 'dict' objects}
    62522    0.238    0.000    0.296    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\multiprocessing\reductions.py:31(__init__)
    50000    0.231    0.000    3.807    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\transforms\_functional_pil.py:87(adjust_saturation)
    15630    0.226    0.000  248.567    0.016 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\_tensor.py:433(backward)
    31261    0.224    0.000    2.296    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\connection.py:207(recv_bytes)
    15630    0.224    0.000    0.593    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\autograd\__init__.py:56(_make_grads)
    60000    0.219    0.000   10.079    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\transforms\transforms.py:269(forward)
    15641    0.215    0.000    8.130    0.001 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\_compile.py:20(inner)
62562/62561    0.214    0.000    0.214    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\typing.py:345(inner)
    50000    0.213    0.000    3.033    0.000 C:\Users\dell\AppData\Local\Programs\Python\Python311\Lib\site-packages\torchvision\transforms\_functional_pil.py:67(adjust_brightness)
